,date,age,city,state,threat_level,flee,body_camera,gender,race,armed,signs_of_mental_illness,Age_range,daysofweek,year,Median Income,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs,poverty_rate,month
0,2014-06-07,31,east knoxville,TN,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2014,34226.0,0.76,0.17,0.0,0.02,0.05,87.8,25.7,June
1,2018-11-26,23,south knoxville,TN,threat,not_fleeing,False,Female,B,unarmed,True,20 - 35,Monday,2018,34226.0,0.76,0.17,0.0,0.02,0.05,87.8,25.7,November
2,2018-12-16,47,darlington county,SC,no_threat,not_fleeing,False,Female,W,armed,True,36 - 49,Sunday,2018,26667.0,0.38,0.61,0.0,0.0,0.01,79.3,79.3,December
3,2018-10-20,34,darlington county,SC,threat,not_fleeing,False,Female,W,armed,False,20 - 35,Saturday,2018,26667.0,38.0,0.61,0.0,0.0,0.01,79.3,79.3,October
4,2015-10-21,21,west goshen,CA,threat,not_fleeing,False,Male,H,unarmed,True,20 - 35,Wednesday,2015,62652.87,0.18,0.07,0.01,0.11,0.34,49.1,76.4,October
5,2017-11-08,14,odanah,WI,no_threat,not_fleeing,False,Male,N,armed,False,13 - 19,Wednesday,2017,50411.4,0.65,0.12,0.01,0.03,0.09,100.0,71.4,November
6,2018-08-03,29,seville,FL,no_threat,not_fleeing,True,Male,H,armed,True,20 - 35,Friday,2018,50262.69,0.46,0.19,0.0,0.02,0.17,72.0,61.3,August
7,2015-12-29,32,santa nella,CA,no_threat,not_fleeing,False,Female,B,unarmed,True,20 - 35,Tuesday,2015,62652.87,0.18,0.07,0.01,0.11,0.34,58.7,58.7,December
8,2017-04-07,34,kyle,SD,threat,flee,False,Male,A,armed,False,20 - 35,Friday,2017,45408.26,0.86,0.02,0.07,0.01,0.04,67.9,57.5,April
9,2017-01-18,40,watts,OK,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Wednesday,2017,22083.0,0.64,0.0,0.33,0.0,0.03,73.6,53.1,January
10,2014-10-17,75,leslie,AR,threat,not_fleeing,False,Male,W,armed,False,Over 65,Friday,2014,19643.0,0.97,0.0,0.01,0.0,0.02,70.4,52.8,October
11,2013-10-28,61,statesboro,GA,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Monday,2013,22763.0,0.55,0.4,0.0,0.02,0.03,85.7,52.3,October
12,2015-12-24,36,winnsboro,LA,no_threat,flee,False,Male,W,armed,False,36 - 49,Thursday,2015,19409.0,0.32,0.67,0.0,0.0,0.01,65.0,52.3,December
13,2018-10-14,17,woodville,CA,threat,not_fleeing,False,Male,H,armed,True,13 - 19,Sunday,2018,32917.0,0.46,0.0,0.01,0.0,0.53,27.2,51.8,October
14,2016-10-18,28,benton harbor,MI,threat,not_fleeing,True,Male,B,unarmed,False,20 - 35,Tuesday,2016,18085.0,0.08,0.9,0.0,0.0,0.02,70.5,50.3,October
15,2017-12-24,46,progreso,TX,no_threat,not_fleeing,False,Male,H,armed,False,36 - 49,Sunday,2017,29088.0,0.46,0.0,0.0,0.0,0.54,47.3,50.0,December
16,2017-09-19,53,bernice,LA,no_threat,not_fleeing,False,Male,W,armed,False,50 - 64,Tuesday,2017,18625.0,0.25,0.62,0.0,0.0,0.13,74.3,49.9,September
17,2018-05-30,23,florida city,FL,no_threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2018,25840.0,0.29,0.39,0.0,0.0,0.32,54.6,48.7,May
18,2016-09-10,69,montcalm,WV,no_threat,not_fleeing,True,Male,W,armed,True,Over 65,Saturday,2016,39097.12,0.91,0.07,0.0,0.01,0.01,71.8,48.5,September
19,2018-04-15,36,lodge grass,MT,no_threat,not_fleeing,False,Male,N,armed,False,36 - 49,Sunday,2018,23854.0,0.1,0.0,0.89,0.0,0.01,83.4,48.4,April
20,2015-12-26,38,homedale,ID,threat,not_fleeing,True,Male,H,armed,False,36 - 49,Saturday,2015,24474.0,0.58,0.0,0.01,0.01,0.4,66.6,47.7,December
21,2015-01-24,45,rexburg,ID,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Saturday,2015,25372.0,0.92,0.01,0.0,0.01,0.06,97.8,46.1,January
22,2016-07-11,41,east st. louis,IL,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Monday,2016,19520.0,0.01,0.98,0.0,0.0,0.01,81.1,45.8,July
23,2014-11-02,28,el dorado springs,MO,threat,not_fleeing,False,Male,W,armed,True,20 - 35,Sunday,2014,19760.0,0.96,0.0,0.01,0.01,0.02,75.3,45.7,November
24,2013-01-23,48,alto,TX,threat,not_fleeing,False,Male,B,unarmed,True,36 - 49,Wednesday,2013,17670.0,0.58,0.23,0.0,0.0,0.19,83.1,45.6,January
25,2016-12-12,31,fort valley,GA,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Monday,2016,20962.0,0.14,0.8,0.0,0.0,0.06,74.1,45.2,December
26,2014-04-29,22,tabor city,NC,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Tuesday,2014,18647.0,0.6,0.37,0.01,0.0,0.02,70.8,45.1,April
27,2015-11-18,25,opa-locka,FL,no_threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2015,18134.0,0.22,0.51,0.0,0.0,0.27,69.3,44.8,November
28,2014-05-24,59,neelyville,MO,threat,not_fleeing,False,Male,W,armed,False,50 - 64,Saturday,2014,23750.0,0.86,0.13,0.01,0.0,0.0,79.5,44.4,May
29,2018-04-12,39,helena-west helena,AR,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Thursday,2018,22055.0,0.25,0.74,0.0,0.0,0.01,77.1,44.2,April
30,2018-05-23,33,rio bravo,TX,threat,not_fleeing,False,Female,H,unarmed,False,20 - 35,Wednesday,2018,25574.0,0.49,0.0,0.0,0.0,0.51,43.5,44.2,May
31,2016-01-31,46,immokalee,FL,no_threat,not_fleeing,False,Male,H,armed,False,36 - 49,Sunday,2016,50262.69,0.46,0.19,0.0,0.02,0.17,41.3,43.9,January
32,2017-03-22,42,booneville,KY,no_threat,not_fleeing,False,Male,W,armed,False,36 - 49,Wednesday,2017,12083.0,1.0,0.0,0.0,0.0,0.0,80.6,43.9,March
33,2016-02-03,22,rosebud,SD,threat,not_fleeing,True,Male,N,armed,False,20 - 35,Wednesday,2016,45408.26,0.86,0.02,0.07,0.01,0.04,75.0,43.7,February
34,2017-11-14,44,rancho tehama reserve,CA,no_threat,not_fleeing,False,Male,W,armed,True,36 - 49,Tuesday,2017,62652.87,0.18,0.07,0.01,0.11,0.34,72.6,43.2,November
35,2018-09-27,41,palatka,FL,no_threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Thursday,2018,20837.0,0.45,0.49,0.0,0.01,0.05,77.8,43.2,September
36,2017-09-30,28,palatka,FL,no_threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2017,20837.0,0.45,0.49,0.0,0.01,0.05,77.8,43.2,September
37,2013-12-28,24,palatka,FL,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2013,20837.0,0.45,0.49,0.0,0.01,0.05,77.8,43.2,December
38,2013-10-30,24,fort thompson,SD,threat,not_fleeing,False,Male,N,armed,False,20 - 35,Wednesday,2013,45408.26,0.86,0.02,0.07,0.01,0.04,79.8,43.2,October
39,2014-03-03,19,browning,MT,threat,not_fleeing,False,Male,N,armed,False,13 - 19,Monday,2014,23750.0,0.05,0.0,0.91,0.0,0.04,85.8,43.0,March
40,2014-02-20,70,browning,MT,threat,not_fleeing,False,Male,W,armed,True,Over 65,Thursday,2014,23750.0,0.05,0.0,0.91,0.0,0.04,85.8,43.0,February
41,2014-01-31,31,kingstree,SC,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Friday,2014,21743.0,0.29,0.68,0.0,0.02,0.01,80.9,42.5,January
42,2014-05-31,33,raeford,NC,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2014,24599.0,0.44,0.41,0.04,0.01,0.1,75.8,42.4,May
43,2017-01-22,57,waldoboro,ME,threat,not_fleeing,False,Male,W,armed,False,50 - 64,Sunday,2017,45397.47,0.93,0.02,0.02,0.02,0.01,98.4,42.3,January
44,2015-12-14,33,mount hope,WV,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Monday,2015,21218.0,0.79,0.18,0.01,0.0,0.02,88.1,42.3,December
45,2016-07-07,63,selma,AL,threat,not_fleeing,True,Male,B,unarmed,False,50 - 64,Thursday,2016,22414.0,0.17,0.81,0.0,0.01,0.01,77.8,41.9,July
46,2013-12-04,73,selma,AL,threat,not_fleeing,False,Male,B,unarmed,False,Over 65,Wednesday,2013,22414.0,0.17,0.81,0.0,0.01,0.01,77.8,41.9,December
47,2013-06-02,28,selma,AL,threat,not_fleeing,False,Female,B,unarmed,False,20 - 35,Sunday,2013,22414.0,0.17,0.81,0.0,0.01,0.01,77.8,41.9,June
48,2013-06-02,59,selma,AL,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Sunday,2013,22414.0,0.17,0.81,0.0,0.01,0.01,77.8,41.9,June
49,2013-06-02,28,selma,AL,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Sunday,2013,22414.0,0.17,0.81,0.0,0.01,0.01,77.8,41.9,June
50,2018-02-27,20,chester,SC,no_threat,flee,True,Male,W,armed,False,20 - 35,Tuesday,2018,21003.0,0.33,0.66,0.0,0.0,0.01,77.5,41.7,February
51,2013-06-23,26,lexington,MS,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Sunday,2013,26083.0,0.27,0.72,0.0,0.0,0.01,79.6,41.4,June
52,2017-09-09,26,arcata,CA,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Saturday,2017,29435.0,0.81,0.02,0.02,0.03,0.12,91.9,41.3,September
53,2014-11-03,28,blountsville,AL,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Monday,2014,30152.0,0.83,0.01,0.01,0.0,0.15,73.1,41.2,November
54,2014-06-04,22,flint,MI,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2014,24862.0,0.37,0.57,0.01,0.01,0.04,82.9,41.2,June
