,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
644,2018-03-24,shot,20,anchorage,AK,no_attack,fleeing,False,19.85,52099.59,84.63,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
914,2017-12-20,shot,56,anchorage,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
983,2017-11-15,shot,48,anchorage,AK,attack,fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
1949,2016-11-12,shot,40,anchorage,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
2260,2016-07-12,shot,23,anchorage,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
3688,2015-02-08,shot,33,anchorage,AK,attack,fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
5597,2013-02-19,Gunshot,25,anchorage,AK,,,,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,anchorage,AK,anchorage municipality,78326,anchorage,Anchorage municipality,0.01,0.06,0.08,0.09,0.08,95.19999999999999,Anchorage municipality,93
2676,2016-02-10,shot,36,barrow,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,barrow,AK,barrow city,76902,barrow,Barrow city,0,0.01,0.67,0.1,0.03,91.29999999999998,Barrow city,84.6
1679,2017-02-17,shot,35,big lake,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,big lake,AK,,70988,big lake,,0.89,0,0.07,0.01,0.03,,Big Lake,90.4
390,2018-07-06,shot,38,copper center,AK,no_attack,,True,19.85,52099.59,84.63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,copper center,AK,,64301,copper center,,0.98,0,0.01,0.01,0,,Copper Center,84.8
903,2017-12-24,shot,20,fairbanks,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,fairbanks,AK,fairbanks city,55229,fairbanks,Fairbanks city,0.01,0.09,0.1,0.04,0.09,97.69999999999999,Fairbanks city,91.2
