Geographic Area,City,Median Income
AZ,Stanfield ,4511
CA,Delft Colony ,6917
ND,Conway city,7083
AZ,Lower Santan Village ,7175
VA,Union Level ,8015
OK,Badger Lee ,8229
ND,Green Acres ,8696
AZ,Stotonic Village ,8750
MS,University ,8864
CA,Valley Ford ,8958
WA,Blyn ,8977
NM,Tecolote ,9110
WA,Addy ,9167
OH,Kanauga ,9316
NC,South Weldon ,9375
TX,Saline_o ,9444
MD,Fairmount ,9952
TX,Batesville ,10307
SD,Corn Creek ,10536
MO,Danville ,10598
NM,Rodeo ,10655
TX,Cuney town,10694
MO,South Greenfield village,10833
TX,Quemado ,10859
MO,Wilson City village,10972
IA,Delphos city,11000
AL,Abanda ,11207
FL,Homestead Base ,11533
TN,Saulsbury town,11750
KS,Piqua ,12009
KY,Booneville city,12083
KY,Livingston city,12115
AL,Boligee town,12173
TX,Port Mansfield ,12321
GA,Phillipsburg ,12336
NM,University Park ,12344
FL,Raleigh ,12399
TX,Las Palmas II ,12414
WV,Fort Gay town,12454
KY,Arjay ,12609
TX,Seco Mines ,12887
IL,Brooklyn village,12917
OH,Rio Grande village,12955
CA,Little Valley ,13036
MO,Kinloch city,13125
NC,Boone town,13149
AZ,Sun Valley ,13151
NM,Alamo ,13162
WV,Pageton ,13250
MS,Tchula town,13273
NM,Polvadera ,13325
ND,Ross city,13365
TX,Hargill ,13382
MN,Boy River city,13438
OK,Clearview town,13438
MO,Hayti Heights city,13594
FL,Plantation Island ,13646
AZ,Drysdale ,13750
AR,Reed town,13750
GA,Girard town,13750
MN,South End ,13750
NC,Bakersville town,13750
NC,Old Hundred ,13750
OK,Amorita town,13750
WV,Itmann ,13750
KS,Fort Dodge ,13776
VA,Bayside ,13841
NM,Nageezi ,13973
TN,Sneedville town,14009
LA,Cullen town,14070
MO,Ludlow town,14107
WV,Matewan town,14135
PA,Graceton ,14153
NM,Santa Cruz ,14167
TX,Concepcion ,14167
IN,Florence ,14189
OK,Kenton ,14250
WA,Orient ,14250
KY,Morgantown city,14254
OR,Kings Valley ,14324
VA,Parrott ,14405
AL,Livingston city,14426
AL,Gainesville town,14444
SD,Bullhead ,14444
TX,Juarez ,14449
KY,Kenvir ,14464
OR,Lonerock city,14464
AR,Grady city,14479
TX,Bluetown ,14479
MS,Maben town,14615
CA,Tennant ,14625
MS,Mayersville town,14632
NC,East Spencer town,14803
CA,Bombay Beach ,14821
NM,Pajarito Mesa ,14836
VT,North Springfield ,14911
KY,Whitley City ,14917
TX,La Tina Ranch ,14936
VA,Camptown ,14965
AL,Uniontown town,14967
GA,Ideal city,15000
