Geographic Area,City,percent_completed_hs
AK,Chicken CDP,
AK,Chisana CDP,
AK,Dot Lake CDP,
AK,Edna Bay city,
AK,Eureka Roadhouse CDP,
AK,Flat CDP,
AK,Healy Lake CDP,
AK,Hobart Bay CDP,
AK,Ivanof Bay CDP,
AK,Loring CDP,
AK,Mertarvik CDP,
AK,Nabesna CDP,
AK,Petersville CDP,
AK,Point Possession CDP,
AK,Pope-Vannoy Landing CDP,
AK,Portage Creek CDP,
AK,Susitna CDP,
AK,Tolsona CDP,
AK,Whitestone Logging Camp CDP,
AK,Alatna CDP,100
AK,Alcan Border CDP,100
AK,Attu Station CDP,100
AK,Bettles city,100
AK,Chenega CDP,100
AK,Chignik city,100
AK,Chiniak CDP,100
AK,Covenant Life CDP,100
AK,Crown Point CDP,100
AK,Dry Creek CDP,100
AK,Elfin Cove CDP,100
AK,False Pass city,100
AK,Ferry CDP,100
AK,Fort Greely CDP,100
AK,Fox CDP,100
AK,Game Creek CDP,100
AK,Halibut Cove CDP,100
AK,Hope CDP,100
AK,Kasilof CDP,100
AK,Kenny Lake CDP,100
AK,Kupreanof city,100
AK,Livengood CDP,100
AK,Lowell Point CDP,100
AK,Lutak CDP,100
AK,Mendeltna CDP,100
AK,Paxson CDP,100
AK,Pleasant Valley CDP,100
AK,Point Baker CDP,100
AK,Port Alexander city,100
AK,Port Clarence CDP,100
AK,Port Protection CDP,100
AK,Primrose CDP,100
AK,Skwentna CDP,100
AK,Sunrise CDP,100
AK,Tonsina CDP,100
AK,Two Rivers CDP,100
AK,Ugashik CDP,100
AK,Whale Pass CDP,100
AK,Willow Creek CDP,100
AK,Wiseman CDP,100
AK,Farmers Loop CDP,98.9
AK,Anderson city,98.6
AK,Nanwalek CDP,98
AK,Big Delta CDP,97.6
AK,Cold Bay city,97.5
AK,Salcha CDP,97.5
AK,Goldstream CDP,97.3
AK,Kodiak Station CDP,97.2
AK,Skagway CDP,97.2
AK,Lazy Mountain CDP,97.1
AK,McKinley Park CDP,97.1
AK,Diamond Ridge CDP,97
AK,Eielson AFB CDP,96.6
AK,Chena Ridge CDP,96.5
AK,Prudhoe Bay CDP,96.4
AK,Ridgeway CDP,96.4
AK,Kalifornsky CDP,96.3
AK,Badger CDP,96.2
AK,Gateway CDP,96.1
AK,Valdez city,96.1
AK,Homer city,95.9
AK,Tenakee Springs city,95.9
AK,Thorne Bay city,95.9
AK,Gustavus city,95.6
AK,Seldovia city,95.5
AK,Delta Junction city,95.4
AK,Haines CDP,95.4
AK,Mud Bay CDP,95.4
AK,Cooper Landing CDP,95.3
AK,Steele Creek CDP,95.3
AK,Lakes CDP,95.1
AK,Cantwell CDP,95
AK,Cohoe CDP,95
AK,Ester CDP,95
AK,College CDP,94.9
AK,Juneau city and borough,94.8
AK,Port Alsworth CDP,94.7
AK,Fishhook CDP,94.5
AK,Harding-Birch Lakes CDP,94.5
AK,Ninilchik CDP,94.5
AK,Sterling CDP,94.5
AK,Glennallen CDP,94.4
AK,Butte CDP,94.3
AK,Funny River CDP,94.3
AK,Trapper Creek CDP,94.3
AK,Anvik city,94.2
AK,Moose Pass CDP,94.1
AK,Womens Bay CDP,94.1
AK,Seward city,93.9
AK,Yakutat CDP,93.9
AK,Anchor Point CDP,93.8
AK,Deltana CDP,93.8
AK,McGrath city,93.7
AK,Dillingham city,93.6
AK,Healy CDP,93.6
AK,Naknek CDP,93.6
AK,Petersburg CDP,93.6
AK,Soldotna city,93.6
AK,Adak city,93.4
AK,Northway Junction CDP,93.3
AK,Tyonek CDP,93.3
AK,King Salmon CDP,93.2
AK,Port Graham CDP,93.2
AK,Unalakleet city,93.2
AK,Huslia city,93.1
AK,Anchorage municipality,93
AK,Knik River CDP,93
AK,Gakona CDP,92.9
AK,Newhalen city,92.8
AK,Sitka city and borough,92.8
AK,Fritz Creek CDP,92.7
AK,Hughes city,92.6
AK,Kachemak city,92.6
AK,Nome city,92.6
AK,Seldovia Village CDP,92.6
AK,Bear Creek CDP,92.5
AK,Farm Loop CDP,92.4
AK,Nikolski CDP,92.3
AK,Tanaina CDP,92.3
AK,North Pole city,92.1
AK,Chuathbaluk city,92
AK,Coffman Cove city,91.9
AK,Nikiski CDP,91.9
AK,Wasilla city,91.8
AK,Chickaloon CDP,91.7
AK,Cordova city,91.6
AK,Happy Valley CDP,91.4
AK,Palmer city,91.3
AK,Fairbanks city,91.2
AK,Gulkana CDP,91.2
AK,Knik-Fairview CDP,91.2
AK,Egegik city,91.1
AK,St. George city,91.1
AK,Whittier city,91.1
AK,Metlakatla CDP,91
AK,Tok CDP,91
AK,Pedro Bay CDP,90.9
AK,Red Dog Mine CDP,90.9
AK,Eagle city,90.7
AK,Silver Springs CDP,90.7
AK,Big Lake CDP,90.4
AK,Buffalo Soapstone CDP,90.4
AK,Golovin city,90.4
AK,Meadow Lakes CDP,90.4
AK,Igiugig CDP,90.3
AK,Glacier View CDP,90.2
AK,Houston city,90.2
AK,Kasaan city,90.2
AK,Wrangell city and borough,90.2
AK,Hydaburg city,90.1
AK,Tazlina CDP,90.1
AK,Port Heiden city,90
AK,Ketchikan city,89.9
AK,Kenai city,89.7
AK,Mosquito Lake CDP,89.6
AK,Atka city,89.5
AK,Hollis CDP,89.5
AK,Willow CDP,89.5
AK,Craig city,89.3
AK,Point MacKenzie CDP,89
AK,Chalkyitsik CDP,88.7
AK,Iliamna CDP,88.7
AK,Susitna North CDP,88.7
AK,Levelock CDP,88.6
AK,Talkeetna CDP,88.3
AK,Lake Minchumina CDP,88.2
AK,Deering city,88
AK,Hoonah city,87.7
AK,Manokotak city,87.5
AK,Salamatof CDP,87.5
AK,King Cove city,87.3
AK,Kodiak city,87.1
AK,Saxman city,87.1
AK,Shageluk city,87.1
AK,Elim city,86.9
AK,Angoon city,86.7
AK,Excursion Inlet CDP,86.7
AK,Manley Hot Springs CDP,86.7
AK,Klukwan CDP,86.5
AK,Galena city,86.4
AK,Kaltag city,86.4
AK,Northway CDP,86.3
AK,Tatitlek CDP,86.3
AK,Buckland city,86.2
AK,Klawock city,86.2
AK,Holy Cross city,86.1
AK,Tanana city,86.1
AK,Marshall city,86
AK,Bethel city,85.8
AK,Kake city,85.7
AK,Moose Creek CDP,85.6
AK,White Mountain city,85.4
AK,Karluk CDP,85
AK,Port Lions city,85
AK,Noatak CDP,84.9
AK,Copper Center CDP,84.8
AK,Nikolaevsk CDP,84.8
AK,Nondalton city,84.7
AK,Barrow city,84.6
AK,Sand Point city,84.6
AK,Kokhanok CDP,84.5
AK,Sutton-Alpine CDP,84.5
AK,Clam Gulch CDP,84.3
AK,Aleknagik city,84
AK,Chignik Lagoon CDP,84
AK,St. Mary's city,84
AK,Emmonak city,83.9
AK,Aniak city,83.8
AK,Point Hope city,83.6
AK,Ruby city,83.2
AK,Kotzebue city,82.9
AK,Chevak city,82.8
AK,Nulato city,82.8
AK,Takotna CDP,82.8
AK,Tetlin CDP,82.8
AK,Unalaska city,82.8
AK,Nelchina CDP,82.7
AK,Chitina CDP,82.6
AK,Eagle Village CDP,82.4
AK,Koyuk city,82.4
AK,Koyukuk city,82.4
AK,Central CDP,82.2
AK,St. Paul city,82.1
AK,South Van Horn CDP,82.1
AK,Tununak CDP,81.7
AK,Akiak city,81.3
AK,Anaktuvuk Pass city,80.9
AK,Crooked Creek CDP,80.8
AK,Wainwright city,80.8
AK,Shaktoolik city,80.6
AK,Mekoryuk city,80.2
AK,Chistochina CDP,80
AK,Stevens Village CDP,80
AK,Shishmaref city,79.9
AK,Kongiganak CDP,79.4
AK,Tanacross CDP,79.3
AK,St. Michael city,79.2
AK,Nenana city,78.9
AK,Kwigillingok CDP,78.8
AK,Ambler city,78.7
AK,Larsen Bay city,78.7
AK,Pelican city,78.7
AK,Evansville CDP,78.6
AK,Lower Kalskag city,78.5
AK,Brevig Mission city,78
AK,Wales city,78
AK,Mountain Village city,77.8
AK,Minto CDP,77.6
AK,Pitkas Point CDP,77.6
AK,Koliganek CDP,77.3
