Geographic Area,City,poverty_rate
AK,Attu Station CDP,
AK,Chicken CDP,
AK,Chisana CDP,
AK,Dot Lake CDP,
AK,Edna Bay city,
AK,Eureka Roadhouse CDP,
AK,Flat CDP,
AK,Healy Lake CDP,
AK,Hobart Bay CDP,
AK,Ivanof Bay CDP,
AK,Loring CDP,
AK,Mertarvik CDP,
AK,Nabesna CDP,
AK,Petersville CDP,
AK,Point Possession CDP,
AK,Pope-Vannoy Landing CDP,
AK,Portage Creek CDP,
AK,Port Clarence CDP,
AK,Susitna CDP,
AK,Tolsona CDP,
AK,Whitestone Logging Camp CDP,
AK,Birch Creek CDP,100
AK,Ferry CDP,100
AK,Slana CDP,92.9
AK,Lime Village CDP,85.7
AK,Point Baker CDP,78
AK,Tuluksak CDP,74.7
AK,Stevens Village CDP,72
AK,Diomede city,65.1
AK,Circle CDP,63.6
AK,Stony River CDP,62.5
AK,Nanwalek CDP,60.5
AK,Brevig Mission city,57.6
AK,Mentasta Lake CDP,57.3
AK,Clark's Point city,55.4
AK,Napakiak city,53.1
AK,Venetie CDP,53.1
AK,Chuathbaluk city,50.5
AK,Northway Village CDP,50
AK,Kobuk city,49.1
AK,Koyuk city,48.9
AK,Savoonga city,48.4
AK,Northway Junction CDP,46.9
AK,Lake Louise CDP,46.7
AK,Koyukuk city,46.3
AK,Hyder CDP,46.2
AK,Alakanuk city,44.6
AK,Scammon Bay city,44.1
AK,Nunapitchuk city,43.9
AK,Shishmaref city,42.8
AK,Newtok CDP,42.3
AK,Grayling city,42
AK,Tuntutuliak CDP,42
AK,Gambell city,41.3
AK,Hooper Bay city,40.9
AK,Naukati Bay CDP,40.6
AK,Akhiok city,40.5
AK,Platinum city,40.5
AK,Crooked Creek CDP,39.8
AK,Nondalton city,39.6
AK,Golovin city,39.4
AK,Teller city,39.4
AK,Adak city,39.3
AK,Pilot Station city,39.3
AK,Port Protection CDP,39
AK,Tetlin CDP,38.1
AK,Quinhagak city,38
AK,St. Michael city,38
AK,Noorvik city,37.2
AK,Arctic Village CDP,36.6
AK,Chalkyitsik CDP,36.6
AK,Kiana city,36.3
AK,Goodnews Bay city,36.2
AK,Kenny Lake CDP,35.9
AK,Kasigluk CDP,35.8
AK,Pilot Point city,35.8
AK,Lowell Point CDP,35.5
AK,Lower Kalskag city,35.2
AK,Kipnuk CDP,35.1
AK,Chenega CDP,34.8
AK,Wales city,34.8
AK,White Mountain city,34.3
AK,Perryville CDP,33.7
AK,Sleetmute CDP,33.7
AK,Beluga CDP,33.3
AK,Manley Hot Springs CDP,33.3
AK,Russian Mission city,33.3
AK,Ruby city,33.2
AK,Tununak CDP,32.9
AK,Chevak city,32.8
AK,Takotna CDP,32.7
AK,Nikolski CDP,32.4
AK,Karluk CDP,31.8
AK,Red Devil CDP,31.8
AK,Kotlik city,31.6
AK,Akiak city,31.3
AK,New Stuyahok city,30.8
AK,Tanacross CDP,30.7
AK,McKinley Park CDP,30.2
AK,Beaver CDP,30
AK,Coldfoot CDP,30
AK,Kivalina city,29.9
AK,Selawik city,29.9
AK,South Van Horn CDP,29.6
AK,Twin Hills CDP,29.5
AK,Elim city,29.3
AK,Stebbins city,29.3
AK,Mountain Village city,29
AK,Shungnak city,28.8
AK,Ekwok city,28.6
AK,Sutton-Alpine CDP,28.6
AK,Kwethluk city,28.3
AK,Napaskiak city,28.3
AK,Port Graham CDP,28.2
AK,New Allakaket CDP,28.1
AK,Nulato city,27.6
AK,Oscarville CDP,27.3
AK,Nightmute city,26.6
AK,Anaktuvuk Pass city,26.3
AK,Kongiganak CDP,26.2
AK,Skwentna CDP,26.2
AK,Akiachak CDP,26.1
AK,Dot Lake Village CDP,25.9
AK,Eagle city,25.8
AK,Emmonak city,25.8
AK,Pitkas Point CDP,25.7
AK,Atmautluak CDP,25.6
AK,Shageluk city,25.6
AK,Huslia city,24.5
AK,Buckland city,24.4
AK,Noatak CDP,24.4
AK,Kokhanok CDP,24.1
AK,Togiak city,23.5
AK,Atqasuk city,23.3
AK,Shaktoolik city,23.3
AK,Nelchina CDP,22.4
AK,Kake city,21.8
AK,Nikolaevsk CDP,21.8
AK,Trapper Creek CDP,21.8
AK,Kwigillingok CDP,21.5
AK,Ambler city,21.4
AK,Northway CDP,21.4
AK,Ouzinkie city,21.3
AK,Eek city,21.2
AK,Nikolai city,21.1
AK,Hughes city,21
AK,Tyonek CDP,21
AK,Port Lions city,20.8
AK,St. Mary's city,20.8
AK,Chistochina CDP,20.3
AK,Marshall city,20.3
AK,Levelock CDP,20.2
AK,Minto CDP,19.1
AK,Aniak city,19
AK,Point Lay CDP,19
AK,Copper Center CDP,18.8
AK,Old Harbor city,18.8
AK,Fort Yukon city,18.5
AK,Chefornak city,18.4
AK,Mekoryuk city,18.4
AK,Upper Kalskag city,18.3
AK,Sand Point city,18.2
AK,Wainwright city,18.2
AK,Angoon city,17.8
AK,Newhalen city,17.7
AK,Eagle Village CDP,17.6
AK,Egegik city,17.6
AK,Point Hope city,17.6
AK,King Cove city,17.5
AK,Klawock city,17.5
AK,Manokotak city,17.4
AK,Hydaburg city,17.3
AK,Fox River CDP,17.1
AK,McGrath city,16.8
AK,Tok CDP,16.8
AK,Ketchikan city,16.6
AK,Hoonah city,16.4
AK,Anvik city,16.3
AK,Kotzebue city,16.3
AK,Nunam Iqua city,16.3
AK,Akutan city,16.1
AK,Cohoe CDP,16
AK,Iliamna CDP,15.8
AK,Dry Creek CDP,15.5
AK,Happy Valley CDP,15.5
AK,Nenana city,15.3
AK,Saxman city,15.2
AK,Chitina CDP,15
AK,Deltana CDP,14.9
AK,Moose Pass CDP,14.9
AK,Salamatof CDP,14.9
AK,Unalakleet city,14.9
AK,Houston city,14.8
AK,St. Paul city,14.8
AK,Koliganek CDP,14.7
AK,Toksook Bay city,14.6
AK,Tazlina CDP,14.5
AK,Lake Minchumina CDP,14.3
AK,Susitna North CDP,14.3
AK,Deering city,14
AK,Craig city,13.9
AK,Womens Bay CDP,13.8
AK,Chickaloon CDP,13.5
AK,Kaltag city,13.5
AK,Thorne Bay city,13.4
AK,Willow CDP,13.4
AK,Clam Gulch CDP,13.2
AK,Fairbanks city,13.1
AK,Holy Cross city,13.1
AK,Larsen Bay city,13.1
AK,Big Delta CDP,13
AK,Meadow Lakes CDP,12.9
AK,Tatitlek CDP,12.8
AK,Bear Creek CDP,12.7
AK,South Naknek CDP,12.7
AK,Homer city,12.6
AK,Excursion Inlet CDP,12.5
AK,Dillingham city,12.3
AK,Tanaina CDP,12.2
AK,Metlakatla CDP,12
AK,Funny River CDP,11.9
AK,King Salmon CDP,11.9
AK,Pleasant Valley CDP,11.9
AK,Kodiak city,11.8
AK,Wrangell city and borough,11.8
AK,Barrow city,11.7
AK,Fritz Creek CDP,11.7
AK,Wasilla city,11.7
AK,Aleknagik city,11.6
AK,Palmer city,11.5
AK,Bethel city,11.4
AK,Nome city,11.3
AK,St. George city,11.3
AK,Whittier city,11.2
AK,Kenai city,10.9
AK,Seldovia Village CDP,10.9
AK,Ninilchik CDP,10.8
AK,Petersburg CDP,10.8
AK,Delta Junction city,10.6
AK,Klukwan CDP,10.6
AK,Anchor Point CDP,10.1
AK,Sterling CDP,10.1
AK,Salcha CDP,9.8
AK,Big Lake CDP,9.6
AK,Butte CDP,9.6
AK,Ridgeway CDP,9.6
AK,Mosquito Lake CDP,9.5
AK,Seldovia city,9.5
AK,Valdez city,9.4
AK,Diamond Ridge CDP,9.2
AK,Glacier View CDP,9.2
AK,Allakaket city,9.1
AK,Cantwell CDP,9.1
AK,Ester CDP,9.1
AK,Point MacKenzie CDP,9
AK,Sitka city and borough,9
AK,Kachemak city,8.9
AK,Gakona CDP,8.8
AK,Chignik Lake CDP,8.6
AK,Seward city,8.4
AK,Nikiski CDP,8.3
AK,Pedro Bay CDP,8.3
AK,Anchorage municipality,8.2
AK,College CDP,8.2
AK,Knik-Fairview CDP,8.2
AK,Lazy Mountain CDP,8.2
AK,Primrose CDP,8.2
AK,Gustavus city,8.1
AK,Galena city,7.9
AK,Gateway CDP,7.8
AK,Gulkana CDP,7.8
AK,Silver Springs CDP,7.7
AK,Unalaska city,7.6
AK,North Pole city,7.5
AK,Lakes CDP,7.3
AK,Knik River CDP,7.1
AK,Nelson Lagoon CDP,7.1
AK,Eielson AFB CDP,6.8
AK,Healy CDP,6.8
AK,Kodiak Station CDP,6.8
AK,Talkeetna CDP,6.7
AK,Juneau city and borough,6.6
AK,Nuiqsut city,6.2
AK,Igiugig CDP,6.1
AK,Coffman Cove city,6
AK,Whitestone CDP,6
AK,Yakutat CDP,5.9
AK,Cordova city,5.8
AK,Farmers Loop CDP,5.8
AK,Kasilof CDP,5.7
AK,False Pass city,5.4
AK,Central CDP,5.2
AK,Soldotna city,5.2
AK,Haines CDP,5.1
AK,Kalifornsky CDP,5.1
AK,Kupreanof city,5
AK,Chena Ridge CDP,4.9
AK,Fishhook CDP,4.8
AK,Hollis CDP,4.8
AK,Buffalo Soapstone CDP,4.6
AK,Skagway CDP,4.6
AK,Badger CDP,4.5
AK,Cooper Landing CDP,4.2
AK,Harding-Birch Lakes CDP,4.2
AK,Tanana city,4.2
AK,Farm Loop CDP,4.1
AK,Kaktovik city,4.1
AK,Naknek CDP,3.9
AK,Prudhoe Bay CDP,3.9
AK,Goldstream CDP,3.7
AK,Steele Creek CDP,3.1
AK,Kasaan city,2.8
AK,Moose Creek CDP,2.1
AK,Port Alsworth CDP,2.1
AK,Tenakee Springs city,2
AK,Atka city,1.5
AK,Alatna CDP,0
AK,Alcan Border CDP,0
AK,Aleneva CDP,0
AK,Anderson city,0
AK,Bettles city,0
AK,Chase CDP,0
AK,Chignik city,0
AK,Chignik Lagoon CDP,0
AK,Chiniak CDP,0
AK,Cold Bay city,0
AK,Covenant Life CDP,0
AK,Crown Point CDP,0
AK,Elfin Cove CDP,0
AK,Evansville CDP,0
AK,Fort Greely CDP,0
AK,Four Mile Road CDP,0
AK,Fox CDP,0
AK,Game Creek CDP,0
AK,Glennallen CDP,0
AK,Halibut Cove CDP,0
AK,Hope CDP,0
AK,Livengood CDP,0
AK,Lutak CDP,0
AK,McCarthy CDP,0
AK,Mendeltna CDP,0
AK,Mud Bay CDP,0
AK,Paxson CDP,0
AK,Pelican city,0
AK,Port Alexander city,0
AK,Port Heiden city,0
AK,Rampart CDP,0
AK,Red Dog Mine CDP,0
AK,Sunrise CDP,0
AK,Tonsina CDP,0
AK,Two Rivers CDP,0
AK,Ugashik CDP,0
AK,Whale Pass CDP,0
AK,Willow Creek CDP,0
AK,Wiseman CDP,0
AL,Whatley CDP,
AL,Calvert CDP,79.4
AL,Abanda CDP,78.8
AL,Oak Hill town,72.7
AL,Tibbie CDP,70.8
AL,Malcolm CDP,63.7
AL,McDonald Chapel CDP,62.6
AL,Memphis town,60.5
AL,Boligee town,60.3
AL,Mosses town,55.8
AL,Livingston city,55.2
AL,Boykin CDP,53.7
AL,Evergreen city,52.6
AL,Silas town,49
AL,Pine Hill town,48.5
AL,Uniontown town,48.4
AL,Forkland town,48.1
AL,Dayton town,48
AL,Bon Air town,47.6
AL,Megargel CDP,46.9
AL,York city,46.8
AL,Holt CDP,46.4
AL,Hurtsboro town,46
AL,Selmont-West Selmont CDP,45.5
AL,Beatrice town,44.9
AL,Lisman town,44.9
AL,Pine Ridge town,44.7
AL,Hayneville town,44.4
AL,Yellow Bluff town,44.1
AL,Weogufka CDP,43.2
AL,Midway town,43.1
AL,Bellamy CDP,42.9
AL,White Hall town,42.7
AL,Akron town,42
AL,Selma city,41.9
AL,Aliceville city,41.3
AL,Coffeeville town,41.3
AL,Hobson City town,41.3
AL,Blountsville town,41.2
AL,Gainesville town,40.9
AL,Panola CDP,40.6
AL,McMullen town,40
AL,Reform town,39.9
AL,Bristow Cove CDP,39.7
AL,Castleberry town,39.6
AL,Samson city,39.6
AL,Perdido CDP,39.5
AL,Greensboro city,39.3
AL,Gordonville town,39.2
AL,Belk town,39.1
AL,Vredenburgh town,39
AL,Childersburg city,38.6
AL,Banks town,38.2
AL,Crossville town,38.1
AL,Rockford town,38.1
AL,Eldridge town,37.8
AL,Ariton town,37.6
AL,Guin city,37.5
AL,Orrville town,37.3
AL,Shelby CDP,36.8
AL,Belle Fontaine CDP,36.7
AL,Hartford city,36.7
AL,Monroeville city,36.7
AL,Rock Mills CDP,36.7
AL,Camp Hill town,36.6
AL,Prichard city,36.3
AL,Ridgeville town,35.9
AL,Paint Rock town,35.6
AL,Georgiana town,35.5
AL,Newbern town,35
AL,Douglas town,34.9
AL,Pennington town,34.9
AL,Bridgeport city,34.7
AL,Wadley town,34.7
AL,Repton town,34.6
AL,Phil Campbell town,34.4
AL,Russellville city,34.4
AL,Chickasaw city,33.6
AL,Toxey town,33.5
AL,Brighton city,33
AL,Fruitdale CDP,33
AL,Marion city,33
AL,Bessemer city,32.9
AL,Cordova city,32.8
AL,South Vinemont town,32.8
AL,Eutaw town,32.7
AL,Heath town,32.5
AL,Brundidge city,32.4
AL,Ethelsville town,32.3
AL,Carbon Hill city,32.2
AL,Goodwater town,32.2
AL,Collinsville town,32.1
AL,Camden city,31.9
AL,Goshen town,31.9
AL,Pisgah town,31.9
AL,Auburn city,31.8
AL,Loachapoka town,31.8
AL,Tarrant city,31.8
AL,Anniston city,31.7
AL,Arley town,31.6
AL,West Blocton town,31.6
AL,Midland City town,31.5
AL,Powell town,31.5
AL,Clio city,31.4
AL,Frisco City town,31.3
AL,Mount Vernon town,31.3
AL,Jacksonville city,31.2
AL,Elba city,31.1
AL,Troy city,31.1
AL,Vernon city,31.1
AL,Demopolis city,31
AL,Berry town,30.9
AL,Birmingham city,30.9
AL,Penton CDP,30.9
AL,Gurley town,30.8
AL,Addison town,30.7
AL,East Brewton city,30.6
AL,Lipscomb city,30.6
AL,Mulga town,30.5
AL,Alexander City city,30.4
AL,Dozier town,30.3
AL,Geneva city,30.3
AL,Faunsdale town,30.2
AL,Flomaton town,30.2
AL,Fort Deposit town,30.2
AL,Kinston town,30.2
AL,Bayou La Batre city,30.1
AL,Florala town,30.1
AL,Cardiff town,30
AL,Elmore town,30
AL,Putnam CDP,30
AL,Red Bay city,29.9
AL,Cottonwood town,29.8
AL,Kellyton town,29.8
AL,Lanett city,29.8
AL,Sylacauga city,29.8
AL,Nanafalia CDP,29.7
AL,Town Creek town,29.6
AL,Notasulga town,29.5
AL,Gadsden city,29.4
AL,Clayton town,29.3
AL,Abbeville city,29.1
AL,Carrollton town,29.1
AL,Maplesville town,29.1
AL,Trafford town,29.1
AL,Hollis Crossroads CDP,29
AL,Belgreen CDP,28.8
AL,Dadeville city,28.8
AL,Rogersville town,28.7
AL,Baileyton town,28.6
